ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
1;Abarema jupunba;Fabaceae;Abarema;(Willd.) Britton & Killip;http://www.tropicos.org/Name/13000004;tree;0;0;1;0;0;1;0;1;0;1;1;884;381;292552043;8;47;1;3;0.05;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
2;Agonandra brasiliensis;Opiliaceae;Agonandra;Miers ex Benth. & Hook. f.;http://www.tropicos.org/Name/23400002;tree;0;0;0;0;0;0;0;0;0;0;1;326;130;109178199;8;4;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Agonandra silvatica;Opiliaceae;Agonandra;Ducke;http://www.tropicos.org/Name/23400013;tree;0;0;0;0;0;0;0;1;0;0;0;152;97;57766156;7;76;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Aiouea montana;Lauraceae;Aiouea;(Sw.) R. Rohde;http://www.tropicos.org/Name/100469825;tree;0;0;0;0;0;0;1;0;0;0;0;10;9;1418468;6;15;0;NA;NA;0;0;Least Concern;2020;NA;VU;CR;CR;CR;CR;CR;CR;CA;0
5;Albizia niopoides;Fabaceae;Albizia;(Spruce ex Benth.) Burkart;http://www.tropicos.org/Name/13007716;tree;1;0;0;0;0;0;1;0;1;1;1;37;16;12077155;7;8;0;NA;NA;0;0;Least Concern;2019;VU;VU;CR;CR;CR;CR;CR;CR;GS;0
6;Albizia subdimidiata;Fabaceae;Albizia;(Splitg.) Barneby & J.W. Grimes;http://www.tropicos.org/Name/13074797;tree;0;0;0;0;0;0;1;0;0;0;0;45;15;21261716;7;33;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Alchornea discolor;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800688;shrub/ tree;0;0;1;0;0;0;0;0;0;0;0;706;155;312218167;8;49;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;GS;0
8;Alchornea glandulosa;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800689;tree;0;0;0;1;0;0;0;0;0;0;0;144;50;44796751;7;65;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;EN;EN;WAN;0
9;Alchornea triplinervia;Euphorbiaceae;Alchornea;(Spreng.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800700;shrub/ tree;0;0;0;0;0;0;0;1;0;0;1;457;97;225566866;8;35;0;NA;NA;0;1;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
10;Alchorneopsis floribunda;Euphorbiaceae;Alchorneopsis;(Benth.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800705;tree;0;0;0;0;0;0;0;1;0;0;0;364;165;137910687;8;14;0;NA;NA;0;0;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
11;Alexa grandiflora;Fabaceae;Alexa;Ducke;http://www.tropicos.org/Name/13015568;tree;0;1;0;0;0;0;0;0;0;0;1;664;103;293952855;8;47;0;NA;NA;0;0;NA;NA;VU;EN;EN;EN;CR;CR;CR;CR;GS;0
12;Alexa imperatricis;Fabaceae;Alexa;(R.H. Schomb.) Baill.;http://www.tropicos.org/Name/13048944;tree;0;0;0;0;0;0;0;0;1;1;0;1564;38;418358227;8;62;0;NA;NA;0;0;NA;NA;NA;VU;EN;EN;EN;EN;EN;EN;GS;0
13;Alexa wachenheimii;Fabaceae;Alexa;Benoist;http://www.tropicos.org/Name/13015571;tree;0;0;0;0;0;0;0;1;0;0;1;26;8;2354669;6;37;0;NA;NA;0;0;Least Concern;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Allantoma decandra;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya Y.Huang & Prance;http://www.tropicos.org/Name/100143564;tree;0;1;0;0;0;0;1;0;0;0;0;495;160;160845746;8;21;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;VU;VU;VU;VU;WAN;0
15;Allantoma lineata;Lecythidaceae;Allantoma;(Mart. & O. Berg) Miers;http://www.tropicos.org/Name/17900367;tree;0;1;0;0;0;0;0;0;0;0;0;398;54;70136336;7;85;0;NA;NA;0;0;NA;NA;VU;VU;VU;EN;EN;EN;EN;CR;GS;0
16;Allantoma pluriflora;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya.Y. Huang & Prance;http://www.tropicos.org/Name/100143570;tree;0;0;0;0;0;0;0;0;0;1;0;40;21;19849955;7;3;0;NA;NA;0;0;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
17;Alseis peruviana;Rubiaceae;Alseis;Standl.;http://www.tropicos.org/Name/27900303;tree;0;0;0;0;0;0;1;0;0;0;0;40;5;38036813;7;58;0;NA;NA;0;0;NA;NA;NA;VU;NA;NA;NA;VU;NA;VU;WAN;0
18;Amaioua guianensis;Rubiaceae;Amaioua;Aubl.;http://www.tropicos.org/Name/27904166;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;1698;246;597122813;8;78;1;4;0.14;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
19;Amanoa guianensis;Phyllanthaceae;Amanoa;Aubl.;http://www.tropicos.org/Name/12802526;shrub/ tree;0;0;0;0;0;0;0;0;0;0;1;472;53;123992219;8;9;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
20;Ambelania acida;Apocynaceae;Ambelania;Aubl.;http://www.tropicos.org/Name/1800680;tree;0;0;0;0;0;0;0;1;0;0;0;614;235;116203873;8;7;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
21;Ambelania occidentalis;Apocynaceae;Ambelania;Zarucchi;http://www.tropicos.org/Name/1805467;tree;0;0;1;0;0;0;0;0;0;0;0;4;3;2088804;6;32;0;NA;NA;0;0;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
22;Amburana acreana;Fabaceae;Amburana;(Ducke) A.C. Sm.;http://www.tropicos.org/Name/13015575;tree;0;1;0;0;0;0;0;0;0;0;1;53;15;25233013;7;4;0;NA;NA;0;0;Vulnerable;1998;VU;VU;VU;EN;VU;EN;EN;EN;WAS;0
23;Ampelocera edentula;Ulmaceae;Ampelocera;Kuhlm.;http://www.tropicos.org/Name/33300106;tree;0;0;0;0;0;0;0;1;0;0;0;636;293;242553276;8;38;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;SA;0
24;Ampelocera ruizii;Ulmaceae;Ampelocera;Klotzsch;http://www.tropicos.org/Name/33300022;tree;1;0;0;0;0;0;0;0;0;1;1;265;57;138512034;8;14;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;EN;CR;CR;CR;CR;WAS;0
25;Amphirrhox longifolia;Violaceae;Amphirrhox;(A. St.-Hil.) Spreng.;http://www.tropicos.org/Name/33800557;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;407;102;192267255;8;28;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
26;Anacardium giganteum;Anacardiaceae;Anacardium;W. Hancock ex Engl.;http://www.tropicos.org/Name/1300075;tree;0;0;0;0;0;0;1;1;1;0;1;300;153;149674111;8;18;0;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
27;Anacardium occidentale;Anacardiaceae;Anacardium;L.;http://www.tropicos.org/Name/1300006;tree;1;0;0;0;0;0;0;1;0;0;0;12;6;1346560;6;13;0;NA;NA;0;0;Least Concern;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
28;Anacardium spruceanum;Anacardiaceae;Anacardium;Benth. ex Engl.;http://www.tropicos.org/Name/1300079;tree;0;1;0;0;0;0;0;1;0;0;1;310;145;63996295;7;81;0;NA;NA;0;1;NA;NA;NA;VU;VU;VU;VU;EN;EN;EN;GS;0
29;Anadenanthera peregrina;Fabaceae;Anadenanthera;(L.) Speg.;http://www.tropicos.org/Name/13015662;tree;0;0;1;0;0;0;0;0;0;0;0;9;5;6034613;6;78;0;NA;NA;0;0;Least Concern;2019;VU;VU;EN;EN;EN;CR;EN;CR;SA;0
30;Andira coriacea;Fabaceae;Andira;Pulle;http://www.tropicos.org/Name/13015685;tree;0;0;0;0;0;0;0;1;0;0;1;101;33;7307569;6;86;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
31;Andira inermis;Fabaceae;Andira;(W. Wright) Kunth ex DC.;http://www.tropicos.org/Name/13048538;tree;0;0;0;0;0;0;0;1;1;1;1;201;102;71169191;7;85;0;NA;NA;0;0;Least Concern;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
32;Andira macrothyrsa;Fabaceae;Andira;Ducke;http://www.tropicos.org/Name/13015696;tree;0;0;0;0;0;0;0;0;0;1;0;30;17;10833370;7;3;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
33;Andira parviflora;Fabaceae;Andira;Ducke;http://www.tropicos.org/Name/13015703;tree;0;0;0;0;0;0;0;0;0;0;1;135;60;43479905;7;64;0;NA;NA;0;0;Least Concern;2021;VU;VU;CR;CR;CR;CR;CR;CR;CA;0
34;Andira surinamensis;Fabaceae;Andira;(Bondt) Splitg. ex Pulle;http://www.tropicos.org/Name/13015710;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;200;81;42058172;7;62;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
35;Aniba burchellii;Lauraceae;Aniba;Kosterm.;http://www.tropicos.org/Name/17802523;tree;0;0;1;0;0;0;0;0;0;0;1;158;52;35846723;7;55;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;EN;EN;CR;EN;CR;CA;0
36;Aniba canelilla;Lauraceae;Aniba;(Kunth) Mez;http://www.tropicos.org/Name/17800123;tree;0;0;0;0;0;0;0;0;0;1;1;586;130;75571080;7;88;0;NA;NA;0;1;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
37;Aniba guianensis;Lauraceae;Aniba;Aubl.;http://www.tropicos.org/Name/17800524;tree;0;0;0;0;0;0;1;0;0;0;0;317;87;52718251;7;72;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
38;Aniba hostmanniana;Lauraceae;Aniba;(Nees) Mez;http://www.tropicos.org/Name/17800128;tree;0;0;1;0;0;0;0;1;0;1;1;178;92;65008780;7;81;0;NA;NA;0;0;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;CA;0
39;Aniba jenmanii;Lauraceae;Aniba;Mez;http://www.tropicos.org/Name/17800130;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;11;8;1695031;6;23;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
40;Aniba kappleri;Lauraceae;Aniba;Mez;http://www.tropicos.org/Name/17800131;tree;0;0;0;0;0;0;0;1;0;0;0;74;31;29291810;7;47;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
41;Aniba muca;Lauraceae;Aniba;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800134;tree;0;0;0;0;0;0;1;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;Least Concern;2021;NA;NA;EN;CR;EN;EN;CR;CR;WAN;0;NA
42;Aniba panurensis;Lauraceae;Aniba;(Meisn.) Mez;http://www.tropicos.org/Name/17800137;tree;0;0;1;0;0;0;1;1;0;1;0;163;66;69356080;7;84;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
43;Aniba parviflora;Lauraceae;Aniba;(Meisn.) Mez;http://www.tropicos.org/Name/17800138;tree;0;0;0;0;0;0;0;1;0;0;0;205;80;34281834;7;54;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
44;Aniba perutilis;Lauraceae;Aniba;Hemsl.;http://www.tropicos.org/Name/17800140;tree;0;0;1;0;0;0;0;0;0;1;0;4;3;1951859;6;29;0;NA;NA;0;0;Vulnerable;2020;NA;NA;VU;NA;VU;VU;VU;VU;WAN;0
45;Aniba puchury-minor;Lauraceae;Aniba;(Mart.) Mez;http://www.tropicos.org/Name/17800141;tree;0;0;1;0;0;0;1;0;0;1;0;154;40;32761793;7;52;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
46;Aniba riparia;Lauraceae;Aniba;(Nees) Mez;http://www.tropicos.org/Name/17800144;tree;0;0;0;1;0;0;0;0;0;0;0;114;41;35211779;7;55;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
47;Aniba taubertiana;Lauraceae;Aniba;Mez;http://www.tropicos.org/Name/17800147;tree;0;0;0;0;0;0;0;1;0;0;0;92;61;26178653;7;42;0;NA;NA;0;0;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;GS;0
48;Aniba williamsii;Lauraceae;Aniba;O.C. Schmidt;http://www.tropicos.org/Name/17802387;tree;0;0;0;0;0;0;0;1;0;0;1;144;83;45700508;7;66;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;CA;0
49;Annona densicoma;Annonaceae;Annona;Mart.;http://www.tropicos.org/Name/1600056;tree;0;0;0;0;0;0;0;1;0;0;0;178;16;59378977;7;77;0;NA;NA;0;0;Least Concern;2019;VU;VU;EN;EN;CR;CR;CR;CR;CA;0
50;Annona duckei;Annonaceae;Annona;Diels;http://www.tropicos.org/Name/1600059;tree;0;0;1;0;0;0;0;0;0;0;0;35;22;9507192;6;98;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
51;Annona hypoglauca;Annonaceae;Annona;Mart.;http://www.tropicos.org/Name/1600068;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;120;29;56594392;7;75;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;CA;0
52;Annona jucunda;Annonaceae;Annona;(Diels) H. Rainer;http://www.tropicos.org/Name/100289471;tree;0;0;0;0;0;0;1;0;0;0;0;20;13;7125133;6;85;0;NA;NA;0;0;Least Concern;2021;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
53;Annona montana;Annonaceae;Annona;Macfad.;http://www.tropicos.org/Name/1600684;tree;0;0;0;0;0;0;0;1;0;0;0;55;33;27481380;7;44;0;NA;NA;0;0;Least Concern;2020;NA;VU;VU;VU;VU;EN;EN;EN;GS;0
54;Annona sericea;Annonaceae;Annona;Dunal;http://www.tropicos.org/Name/1600098;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;13;7;8776036;6;94;0;NA;NA;0;0;Least Concern;2021;VU;VU;VU;VU;EN;EN;EN;EN;SA;0
55;Anthodiscus pilosus;Caryocaraceae;Anthodiscus;Ducke;http://www.tropicos.org/Name/6200009;tree;0;0;0;0;0;0;1;0;0;0;0;25;17;9545008;6;98;0;NA;NA;0;0;NA;NA;NA;NA;EN;EN;EN;EN;EN;EN;WAN;0
56;Antonia ovata;Loganiaceae;Antonia;Pohl;http://www.tropicos.org/Name/19000826;tree;0;0;0;0;0;0;0;1;0;0;1;155;39;33506944;7;53;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;VU;EN;CR;EN;CR;SA;0
57;Aparisthmium cordatum;Euphorbiaceae;Aparisthmium;(A. Juss.) Baill.;http://www.tropicos.org/Name/12802447;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;894;173;349140648;8;54;1;4;0.08;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
58;Apeiba albiflora;Malvaceae;Apeiba;Ducke;http://www.tropicos.org/Name/32200074;tree;0;0;0;0;0;0;0;1;0;0;1;15;6;2748941;6;44;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
59;Apeiba echinata;Malvaceae;Apeiba;Gaertn.;http://www.tropicos.org/Name/32200630;tree;0;1;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
60;Apeiba glabra;Malvaceae;Apeiba;Aubl.;http://www.tropicos.org/Name/32200632;tree;0;0;0;0;0;0;0;1;0;0;1;784;234;268803929;8;43;0;NA;NA;0;0;Least Concern;2018;NA;VU;VU;VU;VU;EN;VU;EN;GS;0
61;Apeiba membranacea;Malvaceae;Apeiba;Spruce ex Benth.;http://www.tropicos.org/Name/32200077;tree;0;0;1;1;0;0;1;0;0;1;1;854;178;217869224;8;34;0;NA;NA;0;1;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
62;Apeiba petoumo;Malvaceae;Apeiba;Aubl.;http://www.tropicos.org/Name/32200078;tree;0;0;0;0;0;0;0;1;0;0;1;1263;312;364840053;8;56;0;NA;NA;0;0;Least Concern;2020;NA;VU;VU;EN;EN;EN;EN;EN;GS;0
63;Apeiba schomburgkii;Malvaceae;Apeiba;Szyszyl.;http://www.tropicos.org/Name/32200079;tree;0;0;0;0;0;0;0;1;0;0;0;91;28;38028292;7;58;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;EN;EN;CR;EN;CR;GS;0
64;Apeiba tibourbou;Malvaceae;Apeiba;Aubl.;http://www.tropicos.org/Name/32200231;tree;0;0;0;0;0;0;0;1;0;1;0;364;124;261447756;8;42;1;4;0.04;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
65;Apuleia leiocarpa;Fabaceae;Apuleia;(Vogel) J.F. Macbr.;http://www.tropicos.org/Name/13015804;tree;1;1;1;0;0;0;1;0;0;1;1;367;144;183475510;8;26;0;NA;NA;1;0;Least Concern;2021;VU;EN;VU;EN;EN;CR;EN;CR;SA;0
66;Aspidosperma album;Apocynaceae;Aspidosperma;(Vahl) Benoist ex Pichon;http://www.tropicos.org/Name/1805662;tree;0;0;0;0;0;0;0;1;0;0;1;230;95;67587408;7;83;0;NA;NA;0;0;NA;NA;VU;VU;VU;EN;VU;EN;EN;CR;SA;0
67;Aspidosperma cylindrocarpon;Apocynaceae;Aspidosperma;M<fc>ll. Arg.;http://www.tropicos.org/Name/1800102;tree;1;0;0;0;0;0;0;0;0;0;1;151;19;76519255;7;88;0;NA;NA;0;1;Least Concern;2019;VU;EN;EN;EN;EN;CR;CR;CR;WAS;0
68;Aspidosperma desmanthum;Apocynaceae;Aspidosperma;Benth. ex M<fc>ll. Arg.;http://www.tropicos.org/Name/1800106;tree;0;1;1;0;0;0;0;1;0;0;1;1007;235;167197687;8;22;0;NA;NA;0;1;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;SA;0
69;Aspidosperma excelsum;Apocynaceae;Aspidosperma;Benth.;http://www.tropicos.org/Name/1800114;tree;0;0;1;0;0;0;1;1;0;1;1;3359;525;872926696;8;94;1;2;0.32;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
70;Aspidosperma helstonei;Apocynaceae;Aspidosperma;Donsel.;https://wcvp.science.kew.org/taxon/77376-1;tree;0;0;0;0;0;0;0;1;0;0;0;7;6;2141854;6;33;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
71;Aspidosperma megalocarpon;Apocynaceae;Aspidosperma;M<fc>ll. Arg.;http://www.tropicos.org/Name/1802200;tree;0;0;0;0;0;0;0;1;1;1;0;16;8;2314704;6;36;0;NA;NA;0;1;Lower Risk/near threatened;1998;NA;NA;VU;VU;VU;EN;EN;EN;WAN;0
72;Aspidosperma parvifolium;Apocynaceae;Aspidosperma;A. DC.;http://www.tropicos.org/Name/1802203;tree;0;0;0;0;0;0;1;0;0;0;0;426;108;149733787;8;18;0;NA;NA;0;0;NA;NA;VU;VU;VU;EN;EN;CR;EN;CR;SA;0
73;Aspidosperma rigidum;Apocynaceae;Aspidosperma;Rusby;http://www.tropicos.org/Name/1805072;tree;1;0;0;1;0;0;1;0;0;0;1;423;145;190179718;8;28;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
74;Aspidosperma schultesii;Apocynaceae;Aspidosperma;Woodson;http://www.tropicos.org/Name/1800156;tree;0;0;0;0;0;0;1;0;0;0;0;247;47;88177988;7;95;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;WAN;0
75;Aspidosperma spruceanum;Apocynaceae;Aspidosperma;Benth. ex M<fc>ll. Arg.;http://www.tropicos.org/Name/1800162;tree;0;0;0;0;0;0;0;1;0;1;0;712;154;153308535;8;19;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
76;Astrocaryum sciophilum;Arecaceae;Astrocaryum;(Miq.) Pulle;http://www.tropicos.org/Name/2401579;palm tree;0;0;0;0;0;0;0;1;0;0;0;1676;91;472047082;8;67;1;4;0.05;0;0;NA;NA;NA;VU;EN;CR;EN;EN;CR;CR;GS;0
77;Astronium graveolens;Anacardiaceae;Astronium;Jacq.;http://www.tropicos.org/Name/1300086;tree;0;1;0;0;0;0;1;0;1;1;1;500;118;156108575;8;19;0;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
78;Astronium lecointei;Anacardiaceae;Astronium;Ducke;http://www.tropicos.org/Name/1300091;tree;1;1;0;0;0;0;0;1;0;1;1;522;217;257513097;8;41;0;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
79;Astronium ulei;Anacardiaceae;Astronium;Mattick;http://www.tropicos.org/Name/1300788;tree;0;1;0;0;0;0;0;1;1;0;0;103;38;20882467;7;32;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
80;Bagassa guianensis;Moraceae;Bagassa;Aubl.;http://www.tropicos.org/Name/50086767;tree;0;1;0;0;1;0;0;1;0;0;1;85;66;42354851;7;63;0;NA;NA;0;1;Least Concern;2020;VU;EN;EN;EN;EN;CR;EN;CR;SA;0
81;Balizia pedicellaris;Fabaceae;Balizia;(DC.) Barneby & J.W. Grimes;http://www.tropicos.org/Name/50068035;tree;0;0;0;0;1;0;0;0;0;1;0;331;136;58012891;7;76;0;NA;NA;0;1;NA;NA;NA;VU;VU;VU;VU;VU;VU;EN;SA;0
82;Batocarpus amazonicus;Moraceae;Batocarpus;(Ducke) Fosberg;http://www.tropicos.org/Name/21301909;tree;1;0;0;0;0;0;0;0;0;1;1;181;85;73122892;7;86;0;NA;NA;0;0;Least Concern;2020;NA;VU;NA;NA;VU;VU;VU;VU;CA;0
83;Batocarpus orinocensis;Moraceae;Batocarpus;H. Karst.;http://www.tropicos.org/Name/21300571;tree;0;0;0;1;0;0;1;0;0;0;0;224;65;55534023;7;74;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;VU;VU;VU;VU;VU;WAN;0
84;Beilschmiedia costaricensis;Lauraceae;Beilschmiedia;(Mez & Pittier) C.K. Allen;http://www.tropicos.org/Name/17802678;tree;0;0;0;0;0;0;1;0;0;0;0;1;1;471873;5;67;0;NA;NA;0;0;Least Concern;2021;VU;EN;CR;CR;CR;CR;CR;CR;WAN;0
85;Beilschmiedia latifolia;Lauraceae;Beilschmiedia;(Nees) Sach. Nishida;http://www.tropicos.org/Name/50126312;tree;0;0;0;0;0;0;1;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
86;Beilschmiedia sulcata;Lauraceae;Beilschmiedia;(Ruiz & Pav.) Kosterm.;http://www.tropicos.org/Name/17802461;tree;0;0;0;0;0;0;1;0;0;0;0;1;1;1065178;6;3;0;NA;NA;0;0;Data Deficient;2021;NA;VU;VU;CR;VU;VU;CR;CR;WAN;0
87;Bellucia grossularioides;Melastomataceae;Bellucia;(L.) Triana;http://www.tropicos.org/Name/20302605;tree;0;0;1;0;0;0;0;1;0;0;0;720;109;222343298;8;35;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;EN;GS;0
88;Bertholletia excelsa;Lecythidaceae;Bertholletia;Bonpl.;http://www.tropicos.org/Name/17900013;tree;0;1;1;0;0;0;1;1;0;1;1;565;197;252182311;8;4;1;4;0.1;0;1;Vulnerable;1998;VU;VU;VU;EN;VU;EN;EN;CR;SA;0
89;Bixa arborea;Bixaceae;Bixa;Huber;http://www.tropicos.org/Name/3800001;shrub/ tree;0;1;0;0;0;0;0;0;0;0;1;208;64;91562889;7;96;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;VU;VU;EN;VU;EN;SA;0
90;Bocageopsis multiflora;Annonaceae;Bocageopsis;(Mart.) R.E. Fr.;http://www.tropicos.org/Name/1600117;tree;0;0;1;0;0;0;0;1;0;0;0;1622;324;488890043;8;69;1;4;0.09;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;0
91;Bocoa prouacensis;Fabaceae;Bocoa;Aubl.;http://www.tropicos.org/Name/13002963;tree;0;0;0;0;1;0;0;1;0;0;1;786;81;101268741;8;1;0;NA;NA;0;0;Least Concern;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
92;Bocoa viridiflora;Fabaceae;Bocoa;(Ducke) R.S. Cowan;http://www.tropicos.org/Name/13002136;tree;0;0;0;0;0;0;0;1;0;0;0;595;180;161330325;8;21;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
93;Bowdichia nitida;Fabaceae;Bowdichia;Spruce ex Benth.;http://www.tropicos.org/Name/13002979;tree;0;1;0;0;0;0;0;0;0;0;1;167;46;35215206;7;55;0;NA;NA;1;0;Least Concern;2019;VU;EN;VU;VU;EN;CR;EN;CR;CA;0
94;Brosimum acutifolium;Moraceae;Brosimum;Huber;http://www.tropicos.org/Name/21300027;tree;1;1;0;0;1;0;0;1;0;0;1;374;209;173358416;8;24;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
95;Brosimum alicastrum;Moraceae;Brosimum;Sw.;http://www.tropicos.org/Name/21300476;tree;1;0;0;1;0;0;1;0;1;1;1;435;113;157509065;8;2;0;NA;NA;1;0;NA;NA;NA;NA;EN;CR;CR;CR;CR;CR;WAN;0
96;Brosimum guianense;Moraceae;Brosimum;(Aubl.) Huber;http://www.tropicos.org/Name/21300523;shrub/ tree;1;0;1;1;1;0;1;1;0;1;1;2826;658;1002433322;9;1;4;0.13;0;1;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0;NA
