ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
920;Spachea elegans;Malpighiaceae;Spachea;(G. Mey.) A. Juss.;http://www.tropicos.org/Name/19500980;tree;0;0;0;0;0;0;0;1;0;0;0;6;2;1640621;6;22;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;CR;EN;EN;CR;CR;GS;0
921;Spondias mombin;Anacardiaceae;Spondias;L.;http://www.tropicos.org/Name/1300270;tree;1;1;0;1;0;0;1;1;0;1;1;1900;335;604504767;8;78;1;4;0.16;0;1;Least Concern;2019;VU;VU;EN;CR;EN;CR;CR;CR;GS;0
922;Stenostomum acreanum;Rubiaceae;Stenostomum;(K. Krause) Achille & Delprete;http://www.tropicos.org/Name/100365924;tree;0;0;0;0;0;0;0;1;0;0;0;188;16;38420394;7;58;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
923;Sterculia apetala;Malvaceae;Sterculia;(Jacq.) H. Karst.;http://www.tropicos.org/Name/30400661;tree;1;0;1;0;0;0;1;0;1;1;0;266;115;106916120;8;3;0;NA;NA;0;1;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
924;Sterculia excelsa;Malvaceae;Sterculia;Mart.;http://www.tropicos.org/Name/30400566;tree;0;1;0;0;0;0;0;1;0;0;1;927;238;178435286;8;25;0;NA;NA;0;0;Least Concern;2021;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
925;Sterculia pruriens;Malvaceae;Sterculia;(Aubl.) K. Schum.;http://www.tropicos.org/Name/30400779;tree;0;0;0;0;0;1;0;1;1;1;1;1790;426;519767012;8;72;1;4;0.24;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;GS;0
926;Sterculia rugosa;Malvaceae;Sterculia;R. Br.;http://www.tropicos.org/Name/30400574;tree;0;0;0;0;0;0;0;1;0;0;0;28;7;3764491;6;58;0;NA;NA;0;0;Least Concern;2021;NA;NA;VU;VU;VU;VU;VU;VU;GS;0
927;Sterculia striata;Malvaceae;Sterculia;A. St.-Hil. & Naudin;http://www.tropicos.org/Name/30400014;tree;1;0;0;0;0;0;0;0;0;0;0;6;2;2263746;6;35;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;EN;VU;EN;EN;CR;SA;0
928;Sterculia tessmannii;Malvaceae;Sterculia;Mildbr.;http://www.tropicos.org/Name/30400577;tree;0;0;1;0;0;0;0;0;0;0;0;314;94;80653846;7;91;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;VU;NA;VU;WAN;0
929;Sterculia villifera;Malvaceae;Sterculia;Steud.;http://www.tropicos.org/Name/50166722;tree;0;0;0;0;0;0;0;1;0;0;0;25;8;6697077;6;83;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
