plot,FT,subunit,tree,stem,family,spp,WD,D,H
192,FOM,L,1,1,Dicksoniaceae,Dicksonia sellowiana,0.0,45.20,2.0
192,FOM,O,1,1,Clethraceae,Clethra uleana,375.8,13.69,3.0
192,FOM,L,2,1,Winteraceae,Drimys angustifolia,377.1,25.15,5.0
192,FOM,O,2,1,Fabaceae,Mimosa scabrella,607.4,21.65,5.0
192,FOM,L,2,2,Winteraceae,Drimys angustifolia,377.1,29.28,5.0
192,FOM,O,3,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.65,3.0
192,FOM,L,3,1,morta,morta,0.0,29.60,2.0
192,FOM,O,4,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,2.0
192,FOM,L,4,1,Winteraceae,Drimys angustifolia,377.1,21.65,6.0
192,FOM,L,5,1,Winteraceae,Drimys angustifolia,377.1,20.69,6.0
192,FOM,O,5,1,Winteraceae,Drimys angustifolia,377.1,21.01,6.0
192,FOM,L,6,1,Winteraceae,Drimys angustifolia,377.1,14.01,6.0
192,FOM,O,6,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,2.0
192,FOM,O,7,1,Dicksoniaceae,Dicksonia sellowiana,0.0,33.10,3.0
192,FOM,L,7,1,Winteraceae,Drimys angustifolia,377.1,17.83,6.0
192,FOM,L,8,1,Winteraceae,Drimys angustifolia,377.1,21.96,5.0
192,FOM,O,8,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,L,8,2,Winteraceae,Drimys angustifolia,377.1,24.19,5.0
192,FOM,L,9,1,Winteraceae,Drimys angustifolia,377.1,14.01,7.0
192,FOM,O,9,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,O,10,1,Dicksoniaceae,Dicksonia sellowiana,0.0,36.29,3.0
