plot,FT,subunit,tree,stem,family,spp,WD,D,H
192,FOM,S,41,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.5
192,FOM,N,42,1,Clethraceae,Clethra uleana,375.8,13.37,5.0
192,FOM,S,42,1,morta,morta,0.0,21.33,1.5
192,FOM,N,43,1,Winteraceae,Drimys angustifolia,377.1,22.92,5.0
192,FOM,S,43,1,Araucariaceae,Araucaria angustifolia,480.0,77.99,27.0
192,FOM,N,44,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,3.0
192,FOM,S,44,1,Winteraceae,Drimys angustifolia,377.1,14.64,5.0
192,FOM,S,44,2,Winteraceae,Drimys angustifolia,377.1,22.92,6.0
192,FOM,S,45,1,Winteraceae,Drimys angustifolia,377.1,15.92,4.0
192,FOM,N,45,1,Clethraceae,Clethra uleana,375.8,14.32,4.0
192,FOM,S,45,2,Winteraceae,Drimys angustifolia,377.1,11.78,4.0
192,FOM,S,46,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.0
192,FOM,N,46,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,5.0
192,FOM,S,47,1,morta,morta,0.0,27.69,2.0
192,FOM,N,47,1,Clethraceae,Clethra uleana,375.8,16.87,6.0
192,FOM,N,47,2,Clethraceae,Clethra uleana,375.8,18.46,5.0
192,FOM,S,47,2,morta,morta,0.0,27.37,2.0
192,FOM,S,48,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,1.7
192,FOM,N,48,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,4.0
192,FOM,N,48,2,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,4.0
192,FOM,N,49,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.65,2.0
192,FOM,S,49,1,Winteraceae,Drimys angustifolia,377.1,21.01,5.0
192,FOM,S,49,2,Winteraceae,Drimys angustifolia,377.1,15.28,5.0
192,FOM,S,50,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.0
192,FOM,N,50,1,Dicksoniaceae,Dicksonia sellowiana,0.0,34.70,3.0
192,FOM,N,51,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,4.0
192,FOM,S,51,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.37,2.0
192,FOM,N,52,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,S,52,1,Winteraceae,Drimys angustifolia,377.1,11.46,3.0
192,FOM,S,53,1,Dicksoniaceae,Dicksonia sellowiana,0.0,35.33,5.0
192,FOM,N,53,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,3.0
192,FOM,N,54,1,Dicksoniaceae,Dicksonia sellowiana,0.0,15.60,1.5
192,FOM,S,54,1,Dicksoniaceae,Dicksonia sellowiana,0.0,35.01,3.0
192,FOM,N,55,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.24,2.5
192,FOM,S,55,1,Lauraceae,Persea,465.1,16.55,5.0
192,FOM,S,56,1,Winteraceae,Drimys angustifolia,377.1,17.19,4.0
192,FOM,N,56,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,5.0
192,FOM,N,57,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.51,1.8
192,FOM,S,57,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,1.8
192,FOM,S,58,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,3.0
192,FOM,N,58,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,2.0
192,FOM,S,59,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,2.0
192,FOM,N,59,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,60,1,Clethraceae,Clethra uleana,375.8,9.87,4.0
192,FOM,S,60,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.19,3.0
192,FOM,S,61,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,1.5
192,FOM,N,61,1,Cunoniaceae,Weinmannia humilis,474.1,19.10,3.0
192,FOM,N,62,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,2.0
192,FOM,S,62,1,Winteraceae,Drimys angustifolia,377.1,21.65,5.0
192,FOM,S,63,1,Winteraceae,Drimys angustifolia,377.1,23.55,5.0
192,FOM,N,63,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.2
192,FOM,S,64,1,Winteraceae,Drimys angustifolia,377.1,14.64,4.0
192,FOM,N,64,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.24,3.5
192,FOM,N,65,1,Lauraceae,Aiouea amoena,466.2,24.19,5.0
192,FOM,S,65,1,Celastraceae,Maytenus boaria,575.9,10.50,4.0
192,FOM,N,66,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,3.0
192,FOM,S,66,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,3.0
192,FOM,N,67,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,3.0
192,FOM,S,67,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,4.0
192,FOM,S,68,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,68,1,Clethraceae,Clethra uleana,375.8,20.37,4.0
192,FOM,S,69,1,Winteraceae,Drimys angustifolia,377.1,30.24,10.0
192,FOM,N,69,1,Araucariaceae,Araucaria angustifolia,480.0,29.60,10.0
192,FOM,S,70,1,morta,morta,0.0,22.28,1.4
192,FOM,N,70,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,3.0
192,FOM,N,71,1,Clethraceae,Clethra uleana,375.8,17.51,4.0
192,FOM,S,71,1,Rosaceae,Prunus myrtifolia,619.1,12.41,5.0
192,FOM,N,72,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,2.5
192,FOM,S,72,1,morta,morta,0.0,22.92,1.5
192,FOM,S,73,1,morta,morta,0.0,23.87,25.0
192,FOM,N,73,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.55,3.0
192,FOM,S,74,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,1.5
192,FOM,N,74,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,3.0
192,FOM,N,75,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,2.5
192,FOM,S,75,1,morta,morta,0.0,21.01,2.0
192,FOM,S,76,1,Winteraceae,Drimys angustifolia,377.1,21.96,5.0
192,FOM,N,76,1,Winteraceae,Drimys angustifolia,377.1,18.14,5.0
192,FOM,S,77,1,Myrtaceae,Myrceugenia alpigena,468.2,12.41,4.0
192,FOM,N,77,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,S,78,1,Myrtaceae,Myrceugenia alpigena,468.2,13.37,3.0
192,FOM,N,78,1,Winteraceae,Drimys angustifolia,377.1,13.37,4.0
192,FOM,N,79,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,3.0
192,FOM,S,79,1,Dicksoniaceae,Dicksonia sellowiana,0.0,44.88,5.0
192,FOM,N,80,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,4.0
192,FOM,S,80,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,1.4
192,FOM,S,81,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,81,1,Dicksoniaceae,Dicksonia sellowiana,0.0,16.87,1.7
192,FOM,N,82,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.8
192,FOM,S,82,1,Winteraceae,Drimys angustifolia,377.1,21.33,5.0
192,FOM,S,83,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.19,4.0
192,FOM,N,83,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.8
192,FOM,S,84,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.42,2.0
192,FOM,N,84,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,1.8
192,FOM,S,84,2,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,N,85,1,Lauraceae,Aiouea amoena,466.2,13.69,5.0
192,FOM,S,85,1,Dicksoniaceae,Dicksonia sellowiana,0.0,33.74,4.0
192,FOM,N,85,2,Lauraceae,Aiouea amoena,466.2,21.65,5.0
192,FOM,N,86,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,2.0
192,FOM,S,86,1,Dicksoniaceae,Dicksonia sellowiana,0.0,36.29,2.0
192,FOM,S,87,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.19,3.0
192,FOM,N,87,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,4.0
192,FOM,S,88,1,Winteraceae,Drimys angustifolia,377.1,15.60,4.0
192,FOM,N,88,1,Winteraceae,Drimys angustifolia,377.1,20.37,5.0
192,FOM,N,89,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,3.0
192,FOM,S,89,1,Clethraceae,Clethra uleana,375.8,16.23,6.0
192,FOM,N,90,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.74,4.0
192,FOM,S,90,1,morta,morta,0.0,27.37,2.0
192,FOM,N,91,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.74,2.0
192,FOM,S,91,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.0
192,FOM,S,92,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,3.0
192,FOM,N,92,1,Dicksoniaceae,Dicksonia sellowiana,0.0,14.96,3.0
192,FOM,N,93,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,2.0
192,FOM,S,93,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,2.0
192,FOM,N,94,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.74,4.0
192,FOM,S,94,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,3.0
192,FOM,S,95,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,2.0
192,FOM,N,95,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.5
192,FOM,N,96,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,3.0
192,FOM,S,96,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,N,97,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.42,2.0
192,FOM,S,97,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,1.6
192,FOM,S,98,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.51,2.0
192,FOM,N,98,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,2.0
192,FOM,N,99,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,S,99,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,2.5
192,FOM,N,100,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,2.0
192,FOM,S,100,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.60,4.0
192,FOM,S,101,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,4.0
192,FOM,N,101,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.42,1.5
192,FOM,N,102,1,Clethraceae,Clethra uleana,375.8,14.01,4.0
192,FOM,S,102,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.60,4.0
192,FOM,N,103,1,Clethraceae,Clethra uleana,375.8,17.19,4.0
